Risk ID,Risk Category,Risk Description,Potential Impact,Likelihood,Impact,Risk Score,Risk Level,Control Area,Recommended Mitigation,Risk Owner,Status,Evidence Needed
R-001,Identity and Access Management,"Terminated users may retain access if offboarding is delayed or not fully documented","Unauthorized access to sensitive systems and data",3,3,9,High,Access Control,"Implement documented offboarding checklist and review disabled accounts weekly",IT Support Manager,Open,"Offboarding ticket and account disablement evidence"
R-002,Identity and Access Management,"Users may have excessive permissions due to outdated group membership or role changes","Privilege creep and unauthorized access to sensitive resources",3,3,9,High,Least Privilege,"Perform quarterly access reviews and validate RBAC assignments with managers",IT Systems Administrator,Open,"Access review approval records"
R-003,Endpoint Security,"Endpoints may fall behind on required security patches","Increased exposure to known vulnerabilities and malware",2,3,6,High,Vulnerability Management,"Track patch compliance and escalate overdue remediation items",Infrastructure Team,In Progress,"Patch compliance report"
R-004,Vulnerability Management,"Vulnerability findings may not have clear ownership or remediation due dates","Delayed remediation and increased risk exposure",2,3,6,High,Risk Treatment,"Assign owners and due dates for high-risk findings through ticketing system",Security Operations,In Progress,"Vulnerability ticket and closure notes"
R-005,Third-Party Risk,"New SaaS vendors may be adopted without documented security review","Unreviewed vendor risk and potential exposure of sensitive data",2,3,6,High,Vendor Risk Management,"Create vendor intake checklist requiring SOC 2 or security documentation review",Procurement / IT,Open,"Vendor questionnaire and security documentation"
R-006,Asset Management,"Incomplete asset inventory may reduce visibility into hardware and software ownership","Reduced accountability and audit readiness gaps",2,2,4,Medium,Asset Management,"Maintain asset inventory and reconcile records during onboarding/offboarding",IT Support,In Progress,"Snipe-IT export or asset report"
R-007,Security Operations,"Security alerts may lack consistent documentation or escalation notes","Reduced incident traceability and missed follow-up actions",2,2,4,Medium,Incident Response,"Use standard alert triage template for security investigations",Security Operations,Open,"Security ticket with triage notes"
R-008,Access Governance,"MFA or Conditional Access requirements may not be consistently applied across all systems","Increased risk of account compromise",2,3,6,High,Identity Security,"Review MFA coverage and document exceptions with business justification",IT Security / IAM,Open,"MFA report and exception log"
R-009,Policy and Procedure,"Security exceptions may be approved informally without expiration dates","Long-term control gaps and weak audit evidence",2,2,4,Medium,Policy Governance,"Create formal exception register with owner, approval, risk acceptance, and expiration date",GRC / IT Risk,Open,"Exception register"
R-010,Incident Response,"Incident response roles and escalation paths may not be clearly documented","Delayed response during security events",2,3,6,High,Incident Response,"Document escalation process and conduct tabletop review",IT Leadership,Open,"IR playbook and tabletop notes"
